epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.265,0.75365,0.50533,1.05084,0.97271,0.91667,0.97885,0.72596,0.9892,0.57944,1.16368,0.000462281,0.000462281,0.000462281
43,126.841,0.75235,0.50824,1.09112,0.94521,0.9472,0.98741,0.70234,1.02728,0.59482,1.17814,0.000438703,0.000438703,0.000438703
44,129.384,0.7631,0.49969,1.06478,0.98266,0.94779,0.99147,0.74064,0.9772,0.51732,1.16049,0.000415124,0.000415124,0.000415124
45,132.538,0.79017,0.50014,1.09051,0.97949,0.98608,0.995,0.75272,0.96175,0.48351,1.16383,0.000391546,0.000391546,0.000391546
46,135.461,0.77365,0.5259,1.05821,0.98329,1,0.995,0.75175,0.88648,0.46459,1.09818,0.000367967,0.000367967,0.000367967
47,138.007,0.73207,0.4937,1.08159,0.99102,0.99295,0.995,0.7405,0.92153,0.45694,1.10387,0.000344389,0.000344389,0.000344389
48,140.578,0.74648,0.48844,1.07142,0.97964,0.96411,0.99313,0.74049,0.91713,0.50102,1.09531,0.00032081,0.00032081,0.00032081
49,143.156,0.71468,0.47745,1.08487,0.97404,0.96524,0.99313,0.73303,0.91289,0.52051,1.09614,0.000297232,0.000297232,0.000297232
50,146.538,0.71636,0.47456,1.07974,0.97576,0.96373,0.99147,0.72883,0.94272,0.5001,1.12354,0.000273654,0.000273654,0.000273654
51,150.602,0.6735,0.48693,1.03619,1,0.94557,0.99147,0.70649,0.95915,0.49552,1.12941,0.000250075,0.000250075,0.000250075
52,153.308,0.61853,0.41213,0.99958,0.89578,0.9785,0.98606,0.71657,1.02897,0.4948,1.17555,0.000226497,0.000226497,0.000226497
53,155.837,0.61105,0.39029,1.00261,0.99881,0.92301,0.98839,0.71046,1.01461,0.49638,1.16589,0.000202918,0.000202918,0.000202918
54,159.106,0.60417,0.39392,0.99368,0.97613,0.95844,0.99147,0.72815,0.99773,0.49269,1.16427,0.00017934,0.00017934,0.00017934
55,161.611,0.60845,0.35637,1.01404,0.97089,0.95884,0.99147,0.73676,0.96506,0.47116,1.15898,0.000155761,0.000155761,0.000155761
56,164.167,0.60304,0.36577,1.00551,0.92427,0.99451,0.99147,0.737,0.91974,0.46024,1.14857,0.000132183,0.000132183,0.000132183
57,166.672,0.57726,0.34597,0.98655,0.93438,0.99928,0.99147,0.74323,0.90952,0.46239,1.14675,0.000108604,0.000108604,0.000108604
58,169.583,0.57494,0.35575,0.98972,0.93514,1,0.99147,0.75871,0.90279,0.45991,1.13901,8.50255e-05,8.50255e-05,8.50255e-05
59,172.676,0.53369,0.32637,0.93623,0.93248,1,0.99147,0.7601,0.90438,0.45008,1.1388,6.1447e-05,6.1447e-05,6.1447e-05
60,175.385,0.55817,0.34128,0.95594,0.93154,1,0.99147,0.75244,0.89811,0.44622,1.13778,3.78685e-05,3.78685e-05,3.78685e-05
